　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　肖申克的救赎　　　　　　　	   9.6    	 1148702  	希望让人自由。　　　
　　　　　　　　霸王别姬　　　　　　　　	   9.6    	  838497  	风华绝代。　　　　　
　　　　　　这个杀手不太冷　　　　　　　	   9.4    	 1060980  	怪蜀黍和小萝莉不得不说的故事。
　　　　　　　　阿甘正传　　　　　　　　	   9.4    	  906770  	一部美国近现代史。　
　　　　　　　　美丽人生　　　　　　　　	   9.5    	  528924  	最美的谎言。　　　　
　　　　　　　泰坦尼克号　　　　　　　　	   9.3    	  842578  	失去的才是永恒的。 
　　　　　　　　千与千寻　　　　　　　　	   9.3    	  840833  	最好的宫崎骏，最好的久石让。 
　　　　　　　辛德勒的名单　　　　　　　	   9.4    	  477731  	拯救一个人，就是拯救整个世界。
　　　　　　　　盗梦空间　　　　　　　　	   9.3    	  929254  	诺兰给了我们一场无法盗取的梦。
　　　　　　　机器人总动员　　　　　　　	   9.3    	  613875  	小瓦力，大人生。　　
　　　　　　忠犬八公的故事　　　　　　　	   9.3    	  594401  	永远都不能忘记你所爱的人。
　　　　　　三傻大闹宝莱坞　　　　　　　	   9.2    	  833457  	英俊版憨豆，高情商版谢耳朵。
　　　　　　　海上钢琴师　　　　　　　　	   9.2    	  700585  	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
　　　　　　　放牛班的春天　　　　　　　	   9.2    	  568576  	天籁一般的童声，是最接近上帝的存在。 
　　　　　大话西游之大圣娶亲　　　　　　	   9.2    	  624843  	一生所爱。　　　　　
　　　　　　　楚门的世界　　　　　　　　	   9.2    	  601524  	如果再也不能见到你，祝你早安，午安，晚安。
　　　　　　　　　教父　　　　　　　　　	   9.2    	  421495  	千万不要记恨你的对手，这样会让你失去理智。
　　　　　　　　　龙猫　　　　　　　　　	   9.1    	  517151  	人人心中都有个龙猫，童年就永远不会消失。
　　　　　　　　星际穿越　　　　　　　　	   9.2    	  622493  	爱是一种力量，让我们超越时空感知它的存在。
　　　　　　　　　熔炉　　　　　　　　　	   9.2    	  347854  	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
　　　　　　　　无间道　　　　　　　　　	   9.1    	  509398  	香港电影史上永不过时的杰作。
　　　　　　　　触不可及　　　　　　　　	   9.2    	  450097  	满满温情的高雅喜剧。
　　　　　　　当幸福来敲门　　　　　　　	   9.0    	  668194  	平民励志片。 　　　
　　　　　　　　乱世佳人　　　　　　　　	   9.2    	  322680  	Tomorrow is another day.
　　　　　　　　怦然心动　　　　　　　　	   9.0    	  714778  	真正的幸福是来自内心深处。
　　　　　　　疯狂动物城　　　　　　　　	   9.1    	  672897  	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
　　　　　　　天堂电影院　　　　　　　　	   9.1    	  356845  	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
　　　　　　蝙蝠侠：黑暗骑士　　　　　　	   9.1    	  411637  	无尽的黑暗。　　　　
　　　　　　　　十二怒汉　　　　　　　　	   9.4    	  206854  	1957年的理想主义。 
　　　　　　　　鬼子来了　　　　　　　　	   9.2    	  287088  	对敌人的仁慈，就是对自己残忍。
　　　　　　　　　活着　　　　　　　　　	   9.1    	  340349  	张艺谋最好的电影。　
　　　　　　少年派的奇幻漂流　　　　　　	   9.0    	  693693  	瑰丽壮观、无人能及的冒险之旅。
　　　　　指环王3：王者无敌　　　　　　	   9.1    	  342489  	史诗的终章。　　　　
　　　　　　　搏击俱乐部　　　　　　　　	   9.0    	  458891  	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
　　　　　　　　天空之城　　　　　　　　	   9.0    	  399714  	对天空的追逐，永不停止。 
　　　　　　　　控方证人　　　　　　　　	   9.6    	  133751  	比利·怀德满分作品。
　　　　　　　飞屋环游记　　　　　　　　	   8.9    	  607324  	最后那些最无聊的事情，才是最值得怀念的。 
　　　　　大话西游之月光宝盒　　　　　　	   8.9    	  502736  	旷古烁今。　　　　　
　　　　　　　　罗马假日　　　　　　　　	   8.9    	  461531  	爱情哪怕只有一天。　
　　　　　　　　窃听风暴　　　　　　　　	   9.1    	  272243  	别样人生。　　　　　
　　　　　　　两杆大烟枪　　　　　　　　	   9.1    	  315821  	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
　　　　　　　飞越疯人院　　　　　　　　	   9.0    	  319151  	自由万岁。　　　　　
　　　　　　　摔跤吧！爸爸　　　　　　　	   9.1    	  599780  	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
　　　　　　　闻香识女人　　　　　　　　	   9.0    	  391092  	史上最美的探戈。　　
　　　　　　哈尔的移动城堡　　　　　　　	   8.9    	  430807  	带着心爱的人在天空飞翔。
　　　　　　　　辩护人　　　　　　　　　	   9.2    	  268216  	电影的现实意义大过电影本身。
　　　　　　　　死亡诗社　　　　　　　　	   9.0    	  336690  	当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
　　　　　　　V字仇杀队　　　　　　　　	   8.8    	  507657  	一张面具背后的理想与革命。
　　　　　　　　海豚湾　　　　　　　　　	   9.3    	  209528  	海豚的微笑，是世界上最高明的伪装。
　　　　　　　　教父2　　　　　　　　　	   9.1    	  227735  	优雅的孤独。　　　　
　　　　　指环王2：双塔奇兵　　　　　　	   9.0    	  321292  	承前启后的史诗篇章。
　　　　　　　　美丽心灵　　　　　　　　	   8.9    	  359525  	爱是一切逻辑和原由。
　　　　　指环王1：魔戒再现　　　　　　	   8.9    	  359766  	传说的开始。　　　　
　　　　　　　　饮食男女　　　　　　　　	   9.1    	  245891  	人生不能像做菜，把所有的料都准备好了才下锅。
　　　　　　　　　情书　　　　　　　　　	   8.8    	  440107  	暗恋的极致。　　　　
